latitud,longitud
-38.048114,-57.539609
-38.046244993,-57.531684801999994
-38.044375986,-57.523760604
-38.042506978999995,-57.515836406
-38.040637972,-57.50791220799999
-38.038768964999996,-57.49998801
-38.036899958,-57.492063812
-38.035030951,-57.484139614
-38.03316194399999,-57.476215416
-38.031292936999996,-57.468291218
-38.02942393,-57.46036702
-38.027554923,-57.452442821999995
-38.025685916,-57.444518624
-38.023816909,-57.436594426
-38.021947901999994,-57.428670227999994
-38.020078895,-57.420746030000004
-38.018209888,-57.412821832
-38.016340881,-57.404897633999994
-38.014471873999995,-57.396973436
-38.012602867,-57.389049238
-38.010733859999995,-57.38112503999999
-38.008864853,-57.373200842
-38.006995846,-57.365276644
-38.00512683899999,-57.35735244599999
-38.003257831999996,-57.349428247999995
-38.001388825,-57.34150405
-37.999519817999996,-57.333579852
-37.997650811,-57.325655653999995
-37.995781803999996,-57.317731456
-37.99391279699999,-57.309807258
-37.99204379,-57.301883059999994
-37.990174783,-57.293958862
-37.988305776,-57.286034664
-37.986436769,-57.278110465999994
-37.984567762,-57.270186267999996
-37.982698754999994,-57.26226207
-37.980829748,-57.254337871999994
-37.978960741,-57.246413674
-37.977091734,-57.238489476
-37.975222726999995,-57.23056527799999
-37.97335372,-57.22264108
-37.971484712999995,-57.214716882
-37.969615706,-57.20679268399999
-37.967746699,-57.198868485999995
-37.96587769199999,-57.190944288
-37.964008684999996,-57.18302009
-37.962139678,-57.175095891999995
-37.960270670999996,-57.167171694
-37.958401664,-57.159247496
-37.956532657,-57.151323297999994
-37.95466364999999,-57.143399099999996
-37.952794643,-57.135474902
-37.950925636,-57.127550703999994
-37.949056629,-57.119626505999996
-37.947187621999994,-57.111702308
-37.945318615,-57.10377810999999
-37.943449607999995,-57.095853912
-37.941580601,-57.087929714
-37.939711594,-57.08000551599999
-37.93784258699999,-57.072081317999995
-37.935973579999995,-57.06415712
-37.934104573,-57.05623292199999
-37.932235565999996,-57.048308723999995
-37.930366559,-57.040384526000004
-37.928497552,-57.032460328
-37.926628545,-57.02453613
-37.924759538,-57.016611932
-37.922890531,-57.008687734
-37.921021524,-57.000763536
-37.919152517,-56.992839338
-37.917283510000004,-56.984915140000005
-37.915414503,-56.976990942
-37.913545496,-56.969066744
-37.911676489,-56.961142546000005
-37.909807482,-56.953218348
-37.907938475,-56.945294149999995
-37.906069468000005,-56.937369952000005
-37.904200460999995,-56.929445754
-37.902331454,-56.921521556
-37.900462447,-56.913597358000004
-37.89859344,-56.90567316
-37.896724433,-56.897748962
-37.894855426,-56.889824764000004
-37.892986418999996,-56.881900566
-37.891117412,-56.873976368
-37.889248405000004,-56.86605217
-37.887379398,-56.858127972
-37.885510391,-56.850203774
-37.883641384,-56.842279575999996
-37.881772377,-56.834355378000005
-37.87990337,-56.82643118
-37.878034363000005,-56.818506982
-37.876165355999994,-56.810582784000005
-37.874296349,-56.802658586
-37.872427342,-56.794734387999995
-37.870558335,-56.786810190000004
-37.868689328,-56.778885992
-37.866820321000006,-56.770961793999994
-37.864951313999995,-56.763037596000004
-37.863082307,-56.755113398
-37.8612133,-56.7471892
-37.859344293,-56.739265002
-37.857475286,-56.731340804
-37.855606279,-56.723416606
-37.853737272,-56.715492408
-37.851868265,-56.70756821
-37.849999258000004,-56.699644012
-37.848130251,-56.691719813999995
-37.846261244,-56.683795616000005
-37.844392237,-56.675871418
-37.84252323,-56.667947219999995
-37.840654223,-56.660023022000004
-37.838785216000005,-56.652098824
-37.836916208999995,-56.644174625999995
-37.835047202,-56.636250428000004
-37.833178195,-56.62832623
-37.831309188,-56.620402031999994
-37.829440181,-56.612477834
-37.827571174,-56.604553636
-37.825702166999996,-56.596629438
-37.82383316,-56.588705239999996
-37.821964153,-56.580781042
-37.820095146,-56.572856844
-37.818226139,-56.564932646
-37.816357132,-56.557008448
-37.814488125,-56.54908425
-37.812619118,-56.541160051999995
-37.810750111000004,-56.533235854
-37.808881103999994,-56.525311656
-37.807012097,-56.517387457999995
-37.80514309,-56.509463260000004
-37.803274083,-56.501539062
-37.801405076,-56.493614863999994
-37.799536069,-56.485690666
-37.797667061999995,-56.477766468
-37.795798055,-56.469842269999994
-37.793929048,-56.461918072
-37.792060041,-56.453993874
-37.790191033999996,-56.446069676
-37.788322027,-56.438145478
-37.786453019999996,-56.43022128
-37.784584013,-56.422297082
-37.782715006000004,-56.414372883999995
-37.78084599899999,-56.406448686
-37.778976992,-56.398524488
-37.777107985,-56.390600289999995
-37.775238978,-56.382676092
-37.773369971,-56.374751894
-37.771500964,-56.366827695999994
-37.769631956999994,-56.358903498000004
-37.76776295,-56.3509793
-37.765893942999995,-56.343055101999994
-37.764024936,-56.335130903999996
-37.762155928999995,-56.327206706
-37.76028692199999,-56.31928250799999
-37.758417914999995,-56.31135831
-37.756548908,-56.303434112
-37.754679901,-56.29550991399999
-37.752810894,-56.287585715999995
-37.750941886999996,-56.279661518
-37.74907288,-56.27173732
-37.747203873,-56.263813121999995
-37.74533486599999,-56.255888924
-37.743465859,-56.247964726
-37.741596852,-56.240040527999994
-37.739727845,-56.23211633
-37.737858838,-56.224192132
-37.735989831,-56.216267933999994
-37.734120824,-56.208343736
-37.732251817,-56.200419538
-37.730382809999995,-56.192495339999994
-37.728513803,-56.184571141999996
-37.726644796,-56.176646944
-37.724775789,-56.16872274599999
-37.722906781999995,-56.160798548
-37.721037775,-56.15287435
-37.719168767999996,-56.14495015199999
-37.717299761,-56.137025953999995
-37.715430753999996,-56.129101756
-37.713561747,-56.121177558
-37.71169274,-56.113253359999995
-37.70982373299999,-56.10532916199999
-37.707954726,-56.097404964
-37.706085718999994,-56.089480765999994
-37.704216712,-56.081556567999996
-37.702347704999994,-56.07363237
-37.700478698,-56.065708171999994
-37.698609691,-56.05778397399999
-37.696740684,-56.049859776000005
-37.694871677,-56.041935578
-37.69300267,-56.034011379999995
-37.691133663,-56.026087182000005
-37.689264656,-56.018162984
-37.687395649,-56.010238786
-37.685526642,-56.002314588000004
-37.683657635,-55.99439039
-37.681788628,-55.98646619200001
-37.679919621,-55.978541994000004
-37.678050614,-55.970617796
-37.676181607000004,-55.962693598
-37.6743126,-55.9547694
-37.672443593,-55.946845202000006
-37.670574586,-55.938921004
-37.668705579,-55.930996806
-37.666836572,-55.923072608000005
-37.664967565,-55.91514841
-37.663098558,-55.907224212
-37.661229551,-55.899300014000005
-37.659360544,-55.891375816
-37.657491537,-55.883451617999995
-37.65562253,-55.875527420000004
-37.653753523,-55.867603222
-37.651884516,-55.859679024
-37.650015509,-55.851754826000004
-37.648146502,-55.843830628
-37.646277495,-55.83590643
-37.644408487999996,-55.827982232
-37.642539481,-55.820058034
-37.640670474000004,-55.812133836
-37.638801467,-55.804209638
-37.63693246,-55.79628544
-37.635063453,-55.788361242
-37.633194446,-55.780437043999996
-37.631325439,-55.772512846000005
-37.629456432,-55.764588648
-37.627587425,-55.75666445
-37.625718418,-55.748740252000005
-37.623849411,-55.740816054
-37.621980404,-55.732891855999995
-37.620111397,-55.724967658000004
-37.61824239,-55.71704346
-37.616373382999996,-55.709119262
-37.614504376,-55.701195064000004
-37.612635369,-55.693270866
-37.610766362,-55.685346668
-37.608897354999996,-55.677422469999996
-37.607028348,-55.669498272
-37.605159341,-55.661574074
-37.603290334,-55.653649876
-37.601421327,-55.645725678
-37.59955232,-55.63780148
-37.597683313000005,-55.629877281999995
-37.595814306,-55.621953084000005
-37.593945299,-55.614028886
-37.592076292,-55.606104687999995
-37.590207285,-55.598180490000004
-37.588338278,-55.590256292
-37.586469271,-55.582332093999995
-37.584600264,-55.574407896
-37.582731257,-55.566483698
-37.580862249999996,-55.5585595
-37.578993243,-55.550635302
-37.577124235999996,-55.542711104
-37.575255229,-55.534786906
-37.573386221999996,-55.526862707999996
-37.571517215,-55.51893851
-37.569648208000004,-55.511014312
-37.567779201,-55.503090114
-37.565910194,-55.495165916
-37.564041187,-55.487241718
-37.56217218,-55.479317519999995
-37.560303173,-55.471393322000004
-37.558434166,-55.463469124
-37.556565159,-55.455544926
-37.554696152,-55.447620728000004
-37.552827144999995,-55.43969653
-37.550958138,-55.431772331999994
-37.549089131,-55.423848134
-37.547220124,-55.415923936
-37.545351117,-55.407999737999994
-37.54348211,-55.40007554
-37.541613103,-55.392151342
-37.539744096,-55.384227144
-37.537875088999996,-55.376302945999996
-37.536006082,-55.368378748
-37.534137075,-55.36045455
-37.532268068,-55.352530352
-37.530399061,-55.344606154
-37.528530054,-55.336681956
-37.526661047000005,-55.328757757999995
-37.524792039999994,-55.320833560000004
-37.522923033,-55.312909362
-37.521054025999995,-55.304985163999994
-37.519185019,-55.297060966000004
-37.517316011999995,-55.289136768
-37.515447005,-55.281212569999994
-37.513577997999995,-55.273288371999996
-37.51170899099999,-55.265364174
-37.509839983999996,-55.25743997599999
-37.507970977,-55.249515777999996
-37.506101969999996,-55.24159158
-37.504232963,-55.233667382
-37.502363955999996,-55.225743183999995
-37.500494949,-55.217818986
-37.498625942,-55.209894788
-37.49675693499999,-55.201970589999995
-37.494887928,-55.19404639199999
-37.493018921,-55.186122194
-37.491149914,-55.178197995999994
-37.489280906999994,-55.170273798
-37.4874119,-55.1623496
-37.485542893,-55.154425401999994
-37.483673886,-55.146501204
-37.481804878999995,-55.138577006
-37.479935872,-55.130652807999994
-37.478066864999995,-55.122728609999996
-37.476197858,-55.114804412
-37.474328850999996,-55.10688021399999
-37.472459844,-55.098956016
-37.470590836999996,-55.091031818
-37.46872182999999,-55.08310762
-37.466852822999996,-55.075183421999995
-37.464983816,-55.067259224
-37.463114809000004,-55.05933502600001
-37.461245802,-55.051410828
-37.459376795000004,-55.043486630000004
-37.457507788,-55.035562432000006
-37.455638781000005,-55.027638234
-37.453769774,-55.019714035999996
-37.451900767,-55.011789838000006
-37.45003176,-55.00386564
-37.448162753,-54.995941442
-37.446293746,-54.988017244000005
-37.444424739,-54.980093046
-37.442555732,-54.97216884800001
-37.440686725000006,-54.964244650000005
-37.438817718,-54.956320452
-37.436948711,-54.948396254
-37.435079704,-54.940472056000004
-37.433210697,-54.932547858
-37.43134169,-54.92462366000001
-37.429472683,-54.916699462
-37.427603676000004,-54.908775264
-37.425734669,-54.900851066
-37.423865662,-54.892926868
-37.421996655,-54.885002670000006
-37.420127648000005,-54.87707847200001
-37.418258641,-54.869154273999996
-37.416389634000005,-54.861230076000005
-37.414520627,-54.853305878
-37.412651620000005,-54.84538168
-37.410782613,-54.837457482000005
-37.408913606,-54.829533284
-37.407044599,-54.82160908600001
-37.405175592,-54.813684888
-37.403306585,-54.80576069
-37.401437578,-54.797836492
-37.399568571,-54.789912294000004
-37.397699564,-54.781988096
-37.395830557,-54.774063898
-37.39396155,-54.7661397
-37.392092543,-54.758215502
-37.390223536,-54.750291304
-37.388354529,-54.742367106
-37.386485522,-54.734442908000005
-37.384616515,-54.72651871
-37.382747507999994,-54.718594511999996
-37.380878501,-54.710670314
-37.379009494,-54.702746116
-37.377140487,-54.694821918
-37.37527148,-54.686897720000005
-37.373402473,-54.678973522
-37.371533466,-54.671049323999995
-37.369664459,-54.663125126
-37.367795451999996,-54.655200928
-37.365926445,-54.64727673
-37.364057438,-54.639352532000004
-37.362188431,-54.631428334
-37.360319424,-54.623504136
-37.358450417,-54.615579937999996
-37.356581410000004,-54.60765574
-37.354712403,-54.599731542
-37.352843396,-54.591807344
-37.350974389,-54.583883146000005
-37.349105382,-54.575958948
-37.347236375,-54.568034749999995
-37.345367368,-54.560110552
-37.343498361,-54.552186354
-37.341629354,-54.544262156
-37.339760346999995,-54.536337958000004
-37.33789134,-54.52841376
-37.336022333,-54.520489561999995
-37.334153326,-54.512565364
-37.332284318999996,-54.504641166
-37.330415312,-54.496716968
-37.328546305,-54.48879277
-37.326677298,-54.480868572
-37.324808291,-54.472944374
-37.322939284,-54.465020175999996
-37.321070277,-54.457095978
-37.31920127,-54.44917178
-37.317332263,-54.441247582
-37.315463256,-54.433323384
-37.313594249,-54.425399186
-37.311725242,-54.417474987999995
-37.309856235,-54.409550790000004
-37.307987228,-54.401626592
-37.306118221,-54.393702394
-37.304249214,-54.385778196000004
-37.302380207,-54.377853998
-37.3005112,-54.369929799999994
-37.298642193,-54.362005601999996
-37.296773185999996,-54.354081404
-37.294904179,-54.346157206
-37.293035172,-54.338233008
-37.291166165,-54.33030881
-37.289297158,-54.32238461200001
-37.287428151,-54.314460413999996
-37.285559144,-54.306536216
-37.283690137,-54.298612018
-37.28182113,-54.290687819999995
-37.279952123,-54.28276362199999
-37.278083116,-54.274839424
-37.276214108999994,-54.266915225999995
-37.274345102,-54.258991028
-37.272476094999995,-54.25106683
-37.270607088,-54.243142631999994
-37.268738080999995,-54.235218434000004
-37.266869074,-54.22729423599999
-37.265000067,-54.219370037999994
-37.26313106,-54.211445839999996
-37.261262052999996,-54.203521642
-37.259393046,-54.19559744399999
-37.257524038999996,-54.187673246
-37.255655032,-54.17974904799999
-37.253786025,-54.17182485
-37.251917018,-54.163900651999995
-37.250048011,-54.155976454
-37.248179003999994,-54.148052256
-37.246309997,-54.140128057999995
-37.244440989999994,-54.13220385999999
-37.242571983,-54.124279662
-37.240702976,-54.116355463999994
-37.238833969,-54.108431266
-37.236964962,-54.100507068
-37.235095955,-54.092582869999994
-37.233226947999995,-54.084658672
-37.231357941,-54.076734474
-37.229488934,-54.068810276
-37.227619927000006,-54.06088607800001
-37.22575092,-54.05296188
-37.223881913,-54.045037682
-37.222012906,-54.037113484
-37.220143899,-54.029189286000005
-37.218274892,-54.02126508800001
-37.216405885,-54.01334089000001
-37.214536878000004,-54.005416692
-37.212667871,-53.997492494
-37.210798864,-53.989568296
-37.208929857,-53.981644098000004
-37.207060850000005,-53.973719900000006
-37.205191843,-53.965795702
-37.203322836,-53.957871504
-37.201453829,-53.949947306000006
-37.199584822000006,-53.942023108
-37.197715815,-53.93409891
-37.195846808,-53.926174712000005
-37.193977801,-53.918250514
-37.192108794000006,-53.910326316
-37.190239787,-53.902402118000005
-37.18837078,-53.89447792
-37.186501773,-53.886553722
-37.18463276600001,-53.878629524000004
-37.182763759000004,-53.87070532600001
-37.180894752,-53.86278112800001
-37.179025745000004,-53.85485693
-37.177156738,-53.846932732
-37.175287731,-53.839008534
-37.173418724,-53.831084336
-37.171549717,-53.823160138
-37.16968071,-53.81523594
-37.167811703,-53.807311741999996
-37.165942696,-53.799387544
-37.164073689000006,-53.791463346
-37.162204681999995,-53.783539148
-37.160335675,-53.775614950000005
-37.158466668,-53.767690752
-37.156597661,-53.759766553999995
-37.154728653999996,-53.751842356
-37.152859647,-53.743918158
-37.15099064,-53.73599396
-37.149121633,-53.728069762000004
-37.147252626,-53.720145564000006
-37.145383619,-53.712221366
